Kraken API symbol,Name,Contract,Symbol - Nomisma,Classification
fv_xrpxbt_200327,XRP/BTC,Mar20,XRP/BTC - Mar20,Pair
fv_xrpxbt_200424,XRP/BTC,Apr20,XRP/BTC - Apr20,Pair
fv_xrpxbt_200529,XRP/BTC,May20,XRP/BTC - May20,Pair
fv_xrpxbt_200626,XRP/BTC,Jun20,XRP/BTC - Jun20,Pair
fv_xrpxbt_200731,XRP/BTC,Jul20,XRP/BTC - Jul20,Pair
fv_xrpxbt_200828,XRP/BTC,Aug20,XRP/BTC - Aug20,Pair
fv_xrpxbt_200925,XRP/BTC,Sep20,XRP/BTC - Sep20,Pair
fv_xrpxbt_201030,XRP/BTC,Oct20,XRP/BTC - Oct20,Pair
fv_xrpxbt_201127,XRP/BTC,Nov20,XRP/BTC - Nov20,Pair
fv_xrpxbt_201225,XRP/BTC,Dec20,XRP/BTC - Dec20,Pair
fv_xrpxbt_210129,XRP/BTC,Jan21,XRP/BTC - Jan21,Pair
fv_xrpxbt_210226,XRP/BTC,Feb21,XRP/BTC - Feb21,Pair
fv_xrpxbt_210326,XRP/BTC,Mar21,XRP/BTC - Mar21,Pair
fv_xrpxbt_210430,XRP/BTC,Apr21,XRP/BTC - Apr21,Pair
fv_xrpxbt_210528,XRP/BTC,May21,XRP/BTC - May21,Pair
fv_xrpxbt_210625,XRP/BTC,Jun21,XRP/BTC - Jun21,Pair
fv_xrpxbt_210730,XRP/BTC,Jul21,XRP/BTC - Jul21,Pair
fv_xrpxbt_210827,XRP/BTC,Aug21,XRP/BTC - Aug21,Pair
fv_xrpxbt_210924,XRP/BTC,Sep21,XRP/BTC - Sep21,Pair
fv_xrpxbt_211029,XRP/BTC,Oct21,XRP/BTC - Oct21,Pair
fv_xrpxbt_211126,XRP/BTC,Nov21,XRP/BTC - Nov21,Pair
fv_xrpxbt_211231,XRP/BTC,Dec21,XRP/BTC - Dec21,Pair
fv_xrpxbt_220128,XRP/BTC,Jan22,XRP/BTC - Jan22,Pair
fv_xrpxbt_220225,XRP/BTC,Feb22,XRP/BTC - Feb22,Pair
fv_xrpxbt_220325,XRP/BTC,Mar22,XRP/BTC - Mar22,Pair
fv_xrpxbt_220429,XRP/BTC,Apr22,XRP/BTC - Apr22,Pair
fv_xrpxbt_220527,XRP/BTC,May22,XRP/BTC - May22,Pair
fv_xrpxbt_220624,XRP/BTC,Jun22,XRP/BTC - Jun22,Pair
fv_xrpxbt_220729,XRP/BTC,Jul22,XRP/BTC - Jul22,Pair
fv_xrpxbt_220826,XRP/BTC,Aug22,XRP/BTC - Aug22,Pair
fv_xrpxbt_220930,XRP/BTC,Sep22,XRP/BTC - Sep22,Pair
fv_xrpxbt_221028,XRP/BTC,Oct22,XRP/BTC - Oct22,Pair
fv_xrpxbt_221125,XRP/BTC,Nov22,XRP/BTC - Nov22,Pair
fv_xrpxbt_221230,XRP/BTC,Dec22,XRP/BTC - Dec22,Pair
fv_xrpxbt_230127,XRP/BTC,Jan23,XRP/BTC - Jan23,Pair
fv_xrpxbt_230224,XRP/BTC,Feb23,XRP/BTC - Feb23,Pair
fv_xrpxbt_230331,XRP/BTC,Mar23,XRP/BTC - Mar23,Pair
fv_xrpxbt_230428,XRP/BTC,Apr23,XRP/BTC - Apr23,Pair
fv_xrpxbt_230526,XRP/BTC,May23,XRP/BTC - May23,Pair
fv_xrpxbt_230630,XRP/BTC,Jun23,XRP/BTC - Jun23,Pair
fv_xrpxbt_230728,XRP/BTC,Jul23,XRP/BTC - Jul23,Pair
fv_xrpxbt_230825,XRP/BTC,Aug23,XRP/BTC - Aug23,Pair
fv_xrpxbt_230929,XRP/BTC,Sep23,XRP/BTC - Sep23,Pair
fv_xrpxbt_231027,XRP/BTC,Oct23,XRP/BTC - Oct23,Pair
fv_xrpxbt_231124,XRP/BTC,Nov23,XRP/BTC - Nov23,Pair
fv_xrpxbt_231229,XRP/BTC,Dec23,XRP/BTC - Dec23,Pair
